???,???,?ID,????,?????,?????
2020-12,1??,1,???,"842,346","797,546"
2020-12,1??,10,???,"208,719","214,534"
2020-12,1??,2,??,"429,145","423,621"
2020-12,1??,3,??,"667,792","642,037"
2020-12,1??,4,??3?,"493,106","450,421"
2020-12,1??,5,??5?,"465,339","462,277"
2020-12,1??,6,???,"257,941","246,412"
2020-12,1??,7,???,"309,534","304,279"
2020-12,1??,8,???,"386,051","395,737"
2020-12,1??,9,???(???????),"464,654","464,949"
2020-12,2??,11,??,"463,728","445,131"
2020-12,2??,12,?????,"810,382","813,339"
2020-12,2??,13,???3?,"412,714","405,805"
2020-12,2??,14,???4?,"284,176","278,093"
2020-12,2??,15,?????????(DDP),"251,261","277,576"
2020-12,2??,16,??,"307,401","316,909"
2020-12,2??,17,????,"297,608","290,623"
2020-12,2??,18,???(????),"326,649","263,814"
2020-12,2??,19,???,"156,177","160,093"
2020-12,2??,20,??,"413,585","444,755"
2020-12,2??,21,??,"687,363","749,676"
2020-12,2??,22,????,"691,472","739,873"
2020-12,2??,23,??(????),"513,266","509,643"
2020-12,2??,24,??(??????),"635,066","639,974"
2020-12,2??,25,????,"290,834","282,647"
2020-12,2??,26,??(????),"1,340,632","1,328,801"
2020-12,2??,27,????,"419,767","420,816"
2020-12,2??,28,?????,"137,793","148,841"
2020-12,2??,29,??(????),"1,015,280","1,018,308"
2020-12,2??,30,??,"1,142,441","1,016,897"
2020-12,2??,31,??,"1,003,598","1,078,641"
2020-12,2??,32,??,"1,607,275","1,560,608"
2020-12,2??,33,??(??.???),"683,119","757,350"
2020-12,2??,34,??,"439,405","431,482"
2020-12,2??,35,??,"344,615","357,622"
2020-12,2??,36,??,"745,970","810,868"
2020-12,2??,37,???(???),"597,690","580,917"
2020-12,2??,38,?????(????),"1,017,581","990,535"
2020-12,2??,39,??,"537,040","504,123"
2020-12,2??,40,??,"1,419,139","1,380,788"
2020-12,2??,41,???,"594,547","581,841"
2020-12,2??,42,???????,"1,293,506","1,304,647"
2020-12,2??,43,??(????),"565,816","580,223"
2020-12,2??,44,???,"1,057,418","1,026,968"
2020-12,2??,45,??,"437,725","445,873"
2020-12,2??,46,?????,"496,930","502,448"
2020-12,2??,47,??,"393,709","454,557"
2020-12,2??,48,??,"607,379","630,710"
2020-12,2??,49,????,"958,044","987,861"
2020-12,2??,50,??,"663,994","679,563"
2020-12,2??,51,??,"252,745","259,609"
2020-12,2??,52,??,"218,012","212,963"
2020-12,2??,53,???(?????),"213,036","222,253"
2020-12,2??,54,??,"58,665","57,964"
2020-12,2??,55,??,"33,690","38,933"
2020-12,2??,56,???,"75,652","74,985"
2020-12,2??,57,???,"30,252","31,663"
2020-12,2??,58,????,"140,273","150,876"
2020-12,2??,59,?????,"213,162","222,333"
2020-12,2??,60,??(?????),"52,417","54,922"
2020-12,3??,61,??,"70,286","69,508"
2020-12,3??,62,???,"441,837","420,666"
2020-12,3??,63,???,"839,605","790,442"
2020-12,3??,64,??,"364,371","393,678"
2020-12,3??,65,??,"324,029","298,651"
2020-12,3??,66,??,"379,242","367,220"
2020-12,3??,67,???,"83,876","85,997"
2020-12,3??,68,???,"153,243","158,963"
2020-12,3??,69,???(??????),"363,808","354,975"
2020-12,3??,70,??,"355,537","363,529"
2020-12,3??,71,??3?,"197,401","226,266"
2020-12,3??,72,???3?,"208,799","215,777"
2020-12,3??,73,???,15,0
2020-12,3??,74,????,"162,946","170,754"
2020-12,3??,75,??,"277,926","270,120"
2020-12,3??,76,??,"175,428","168,320"
2020-12,3??,77,??,"188,612","198,205"
2020-12,3??,78,???,"675,803","710,938"
2020-12,3??,79,??,"625,214","649,228"
2020-12,3??,80,??,"96,833","96,147"
2020-12,3??,81,?????,"870,717","875,427"
2020-12,3??,82,??(??.???),"276,760","184,901"
2020-12,3??,83,?????(?????),"601,843","621,487"
2020-12,3??,84,??(????),"791,923","847,929"
2020-12,3??,85,??,"256,519","243,503"
2020-12,3??,86,??,"110,978","111,575"
2020-12,3??,87,??,"213,404","212,016"
2020-12,3??,88,???,"35,737","36,080"
2020-12,3??,89,??,"205,485","189,152"
2020-12,3??,90,??,"197,627","194,225"
2020-12,3??,91,??,"338,526","346,521"
2020-12,3??,92,????,"194,502","191,136"
2020-12,3??,93,????,"159,978","160,663"
2020-12,3??,94,??,"131,286","118,568"
2020-12,4??,100,??(????),"772,432","766,104"
2020-12,4??,101,??(???????),"339,422","331,873"
2020-12,4??,102,?????,"625,839","615,234"
2020-12,4??,103,??,"431,412","423,683"
2020-12,4??,104,??????(??),"420,739","404,881"
2020-12,4??,105,?????(???),"288,982","284,214"
2020-12,4??,106,??,"610,778","602,260"
2020-12,4??,107,???,"431,243","443,200"
2020-12,4??,108,?????????(DDP),"320,745","299,148"
2020-12,4??,109,???,"556,307","570,763"
2020-12,4??,110,??,"367,554","381,519"
2020-12,4??,111,??(?????),"486,208","504,895"
2020-12,4??,112,???,"217,449","296,569"
2020-12,4??,113,????(??),"264,962","259,001"
2020-12,4??,114,???,"94,184","103,199"
2020-12,4??,115,???,"301,651","316,003"
2020-12,4??,116,??(???????),"140,531","156,416"
2020-12,4??,117,??(???),"51,608","54,328"
2020-12,4??,118,?????(??),"404,847","439,646"
2020-12,4??,119,??,"499,677","422,301"
2020-12,4??,120,???,"23,614","20,533"
2020-12,4??,95,???,"279,882","259,694"
2020-12,4??,96,??,"425,644","399,339"
2020-12,4??,97,??,"406,921","450,432"
2020-12,4??,98,??,"567,502","605,830"
2020-12,4??,99,??,"666,518","616,468"
2020-12,???,121,???,"96,764","31,465"
2020-12,???,122,??,"200,091","208,892"
2020-12,???,123,??,"665,800","675,663"
2020-12,???,124,???,"182,993","191,599"
2020-12,???,125,??,"274,066","282,977"
2020-12,???,126,???,"845,435","866,979"
2020-12,???,127,???,"88,257","86,954"
2020-12,???,151,??,"207,622","173,430"
2020-12,???,249,??,"425,112","430,712"
2020-12,???,250,???????,"360,982","433,494"
2020-12,???,251,????,"255,812","256,125"
2020-12,???,252,??,"224,152","199,604"
2020-12,???,253,??,"162,916","150,889"
2020-12,???,254,??,"481,273","485,316"
2020-12,???,255,??,"201,334","199,478"
2020-12,???,256,??,"569,694","585,656"
2020-12,???,257,??,"173,618","174,316"
2020-12,???,258,??,"192,994","192,051"
2020-12,???,259,????,"297,755","296,366"
2020-12,???,260,??,"154,589","151,395"
2020-12,???,261,??,"728,815","771,674"
2020-12,???,262,??,"366,767","388,306"
2020-12,???,263,??,"66,816","63,672"
2020-12,???,264,??,"287,466","285,787"
2020-12,???,265,??,"55,340","50,578"
2020-12,???,266,???,"68,167","62,903"
2020-12,???,267,??,"214,822","215,601"
2020-12,???,268,??,"34,260","30,012"
2020-12,???,269,??,"97,084","93,344"
2020-12,???,270,???,"142,167","135,960"
2020-12,???,271,??,"63,463","59,528"
2020-12,???,272,??,"262,506","259,961"
2020-12,???,273,??,"78,868","78,545"
2020-12,???,274,??,"15,994","16,153"
2020-12,???,275,??,"113,639","114,046"
2020-12,???,276,??,"112,760","115,966"
2020-12,???,277,??,"131,742","126,360"
2020-12,???,278,???,"31,836","27,117"
2020-12,???,279,??,"64,585","57,354"
2020-12,???,293,??,"477,055","493,324"
2020-12,???,294,???,"265,132","252,774"
2020-12,???,295,??,"598,974","598,932"
2020-12,???,296,??,"743,457","751,839"
2020-12,???,297,??,"594,647","595,844"
2020-12,???,298,??,"654,347","692,036"
2020-12,???,299,??,"157,569","157,201"
2020-12,???,300,??,"348,680","352,844"
2020-12,???,301,??,"416,169","381,202"
2020-12,???,302,???,"219,924","210,682"
2020-12,???,303,???,"302,494","291,545"
2020-12,???,304,??,"72,771","54,773"
2020-12,???,305,??,"131,691","135,619"
2020-12,???,306,??,"216,668","202,352"
2020-12,???,307,??,"186,603","178,025"
2020-12,???,308,??,"124,981","120,055"
2020-12,???,309,??,"64,716","66,518"
2020-12,???,310,??(??????),"142,501","140,051"
2020-12,???,311,??,"201,725","192,888"
2020-12,???,312,??,"88,285","81,863"
2020-12,???,128,??(???????),"78,939","61,760"
2020-12,???,129,???,"39,726","36,311"
2020-12,???,130,??,"90,464","84,975"
2020-12,???,131,??,"1,109",678
2020-12,???,132,??,"38,343","32,794"
2020-12,???,133,???(????),"285,142","329,466"
2020-12,???,134,???(???????),"306,716","332,978"
2020-12,???,136,???,"165,173","163,010"
2020-12,???,137,???,"194,128","181,279"
2020-12,???,138,??,"181,770","206,356"
2020-12,???,139,???,"183,946","176,143"
2020-12,???,140,??,"140,928","134,314"
2020-12,???,141,??,"106,199","89,858"
2020-12,???,142,??,6,0
2020-12,???,358,??,"213,790","210,942"
2020-12,???,359,??,"135,043","129,966"
2020-12,???,360,???,"189,367","116,815"
2020-12,???,361,???,"157,655","163,004"
2020-12,???,362,??,"270,728","269,084"
2020-12,???,363,???,"403,995","410,904"
2020-12,???,364,??,"143,846","139,971"
2020-12,???,365,??,"101,169","98,154"
2020-12,???,366,??,"163,024","154,945"
2020-12,???,367,??,"59,262","53,848"
2020-12,???,368,??,"120,820","119,196"
2020-12,???,369,??,"137,605","135,606"
2020-12,???,370,?????,"69,208","67,894"
2020-12,???,371,??,"36,018","33,859"
2020-12,???,372,???,"43,132","50,181"
2020-12,???,373,???,"62,295","53,644"
2020-12,???,280,??,"339,201","358,923"
2020-12,???,281,???,"107,969","97,776"
2020-12,???,282,??,"94,844","91,384"
2020-12,???,283,???,"362,878","365,030"
2020-12,???,284,???,"185,739","186,772"
2020-12,???,285,??,"350,800","363,434"
2020-12,???,286,??,"183,989","177,500"
2020-12,???,287,??,"97,655","101,376"
2020-12,???,288,??,"286,474","262,791"
2020-12,???,289,????,"36,823","34,408"
2020-12,???,290,??,"189,743","200,312"
2020-12,???,291,???,"183,820","179,449"
2020-12,???,292,???,"93,256","78,034"
2020-12,???,230,???,"174,670","157,825"
2020-12,???,231,????,"26,892","26,566"
2020-12,???,232,???,"44,232","47,202"
2020-12,???,233,??,"109,119","100,795"
2020-12,???,234,??????,"195,058","193,997"
2020-12,???,235,???,"500,529","518,517"
2020-12,???,236,??,"371,572","370,773"
2020-12,???,237,??,"535,431","523,102"
2020-12,???,143,??,"275,924","401,981"
2020-12,???,144,??,"288,678","306,104"
2020-12,???,145,??,"135,464","135,113"
2020-12,???,146,??,"35,260","34,488"
2020-12,???,147,???,"75,419","77,632"
2020-12,???,148,?????,"77,757","72,778"
2020-12,???,149,??,"267,695","282,297"
2020-12,???,150,??,8,0
2020-12,???,313,??,"173,036","140,385"
2020-12,???,314,???,"171,243","171,005"
2020-12,???,315,??????,"380,021","408,175"
2020-12,???,316,????,"193,064","221,844"
